Wall time,Step,Value
1724428762.899358,9,-8.486124038696289
1724428764.431874,19,-5.877583026885986
1724428767.3391,39,-7.467914581298828
1724428770.245437,59,-4.925734043121338
1724428771.704119,69,-5.415221214294434
1724428773.172309,79,-6.461567401885986
1724428774.654888,89,-6.225587368011475
1724428776.100148,99,-5.332190990447998
1724428777.5507462,109,-6.5692830085754395
1724428779.000405,119,-5.006150722503662
1724428780.4960608,129,-5.564525127410889
1724428781.958634,139,-4.791858673095703
1724428783.473249,149,-4.573497772216797
1724428785.024405,159,-5.018491268157959
1724428786.589231,169,-5.2993621826171875
1724428788.1482382,179,-6.520802974700928
1724428789.652158,189,-3.7591147422790527
1724428791.1282308,199,-7.968288421630859
1724428792.643948,209,-4.186105728149414
1724428794.122108,219,-4.452569007873535
1724428795.605972,229,-6.806141376495361
1724428797.09158,239,-4.0702290534973145
1724428798.5783029,249,-6.088780879974365
1724428800.067928,259,-4.537938117980957
1724428803.221882,279,-4.844566345214844
1724428807.7724779,309,-5.666504859924316
1724428809.317121,319,-5.21219539642334
1724428810.831844,329,-5.602168083190918
1724428812.352225,339,-4.742727756500244
1724428813.908586,349,-4.405405044555664
1724428816.954466,369,-3.689915180206299
1724428818.511948,379,-6.612700462341309
1724428820.088449,389,-2.949535846710205
1724428821.628582,399,-4.047817707061768
1724428823.1595662,409,-4.481311321258545
1724428826.2031748,429,-3.7021474838256836
1724428827.731897,439,-5.637523174285889
1724428829.253977,449,-6.643886089324951
1724428830.782552,459,-6.1551127433776855
1724428832.310216,469,-6.4291157722473145
1724428833.843006,479,-6.11281681060791
1724428837.102932,499,-5.18302583694458
1724428838.6909041,509,-6.421639919281006
1724428841.7794838,529,-3.9527297019958496
1724428843.331595,539,-2.855388879776001
1724428844.900727,549,-6.6331892013549805
1724428846.594342,559,-5.995179176330566
1724428848.158313,569,-5.9143147468566895
1724428849.727614,579,-6.174854755401611
1724428852.823763,599,-5.022644519805908
1724428854.366716,609,-4.1877336502075195
1724428855.907056,619,-8.655402183532715
1724428857.495775,629,-6.9398369789123535
1724428859.046504,639,-3.7473933696746826
1724428860.600728,649,-5.705325603485107
1724428862.149749,659,-4.645230770111084
1724428863.701504,669,-2.6638903617858887
1724428865.249123,679,-4.213315486907959
1724428866.808005,689,-2.2810556888580322
1724428868.36078,699,-5.670421123504639
1724428871.423685,719,-3.871365785598755
1724428872.983188,729,-4.1934494972229
1724428874.544765,739,-6.0179219245910645
1724428876.085284,749,-4.222795486450195
1724428877.687951,759,-5.737205505371094
1724428879.18754,769,-3.554089307785034
1724428880.66243,779,-4.089538097381592
1724428882.231524,789,-3.144193649291992
1724428883.886594,799,-4.205949783325195
1724428887.000619,819,-3.1329121589660645
1724428888.574923,829,-4.035556793212891
1724428891.628808,849,-3.8637988567352295
1724428893.064907,859,-3.947829246520996
1724428894.588764,869,-5.10073184967041
1724428896.042043,879,-2.199725866317749
1724428897.507305,889,-3.730637550354004
1724428898.947579,899,-4.4947590827941895
1724428901.3155751,919,-1.7391281127929688
1724428902.7846808,929,-3.577503204345703
1724428904.1747048,939,-2.8107962608337402
1724428905.705041,949,-3.9285528659820557
1724428907.2110841,959,-3.4921276569366455
1724428908.657079,969,-2.9981606006622314
1724428909.9232152,979,-2.5910627841949463
1724428912.466175,999,-2.8556950092315674
1724428913.759157,1009,-3.2533671855926514
1724428914.943882,1019,-1.937264323234558
1724428916.1245718,1029,-2.4754340648651123
1724428917.149528,1039,-3.77104115486145
1724428918.303757,1049,-1.1889857053756714
1724428919.628408,1059,-3.4216747283935547
1724428920.706752,1069,-2.104329824447632
1724428923.354526,1089,-3.0263566970825195
1724428924.769108,1099,-1.212098479270935
1724428925.844953,1109,-2.43518328666687
1724428926.961119,1119,-0.9619094133377075
1724428928.235701,1129,-3.234548568725586
1724428929.4145548,1139,-1.4724451303482056
1724428930.503139,1149,-3.114673376083374
1724428931.568278,1159,-1.9381768703460693
1724428932.829864,1169,-2.662132978439331
1724428933.993788,1179,-2.6396541595458984
1724428935.245545,1189,-3.2406809329986572
1724428936.319029,1199,-2.7072620391845703
1724428937.417001,1209,-1.9248911142349243
1724428938.5489228,1219,-2.120680332183838
1724428939.65996,1229,-2.5618362426757812
1724428940.747334,1239,-3.1154673099517822
1724428942.0166452,1249,-3.4161319732666016
1724428943.263804,1259,-2.9741528034210205
1724428944.2178218,1269,-1.7970986366271973
1724428945.3269749,1279,-2.669337272644043
1724428947.50439,1299,-4.26957368850708
1724428948.52402,1309,-5.5102362632751465
1724428951.669307,1339,-3.576002359390259
1724428952.535118,1349,-3.1925883293151855
1724428954.5769129,1369,-1.7176003456115723
1724428955.576229,1379,-1.520706057548523
1724428957.57542,1399,-3.194866180419922
1724428959.684909,1419,-1.76414954662323
1724428960.704829,1429,-2.8650338649749756
1724428961.639358,1439,-2.220125198364258
1724428962.556093,1449,-3.0017683506011963
1724428963.4168372,1459,-2.8319664001464844
1724428964.4164228,1469,-2.693532705307007
1724428966.4106162,1489,-3.6802728176116943
1724428967.4055748,1499,-1.490151286125183
1724428968.456047,1509,-1.923973560333252
1724428969.408635,1519,-1.6481510400772095
1724428971.292738,1539,-1.311838150024414
1724428972.269889,1549,-1.6082799434661865
1724428973.2927501,1559,-1.6010324954986572
1724428974.256618,1569,-1.4087711572647095
1724428975.341729,1579,-0.6909942626953125
1724428976.277576,1589,-1.0638184547424316
1724428977.345792,1599,-3.0422613620758057
1724428979.330715,1619,-1.127619981765747
1724428980.310515,1629,-1.337948203086853
1724428982.2881632,1649,-0.9988709688186646
1724428983.333889,1659,-1.7427072525024414
1724428985.3069031,1679,-2.0996639728546143
1724428986.352611,1689,-1.4801472425460815
1724428987.321036,1699,-1.5982234477996826
1724428989.2071,1719,-2.119115114212036
1724428990.14111,1729,-1.837033987045288
1724428991.0979478,1739,-1.5808089971542358
1724428993.057538,1759,-2.8708386421203613
1724428994.100069,1769,-4.734156131744385
1724428995.082748,1779,-1.4553663730621338
1724428995.929898,1789,-1.5291954278945923
1724428997.8063822,1809,-2.0952510833740234
1724428998.762887,1819,-1.6161177158355713
1724428999.776528,1829,-1.0080598592758179
1724429000.64299,1839,-1.110344648361206
1724429001.5166872,1849,-1.7210428714752197
1724429002.47532,1859,-2.441455125808716
1724429003.388155,1869,-1.6548278331756592
1724429004.277691,1879,-2.0234134197235107
1724429005.191872,1889,-2.3022217750549316
1724429007.0625,1909,-1.5312503576278687
1724429008.040695,1919,-1.5286297798156738
1724429010.782509,1949,-1.5662847757339478
1724429014.610443,1989,-1.412183165550232
1724429015.568979,1999,-1.4581602811813354
1724429017.398528,2019,-2.1769726276397705
1724429018.382608,2029,-0.5880011916160583
1724429019.342696,2039,-0.7959688901901245
1724429021.126801,2059,-1.119289517402649
1724429022.1307468,2069,-2.839695453643799
1724429023.114079,2079,-2.043351888656616
1724429024.10028,2089,-0.9264856576919556
1724429024.9504168,2099,-1.7543244361877441
1724429027.789966,2129,-0.9054279327392578
1724429028.72909,2139,-1.3737705945968628
1724429029.820864,2149,-0.8896200656890869
1724429030.729419,2159,-1.3549554347991943
1724429031.638587,2169,-1.688226342201233
1724429032.570689,2179,-1.4720550775527954
1724429033.477035,2189,-1.160984754562378
1724429034.408803,2199,-0.8237054347991943
1724429035.365555,2209,-1.1900514364242554
1724429036.29967,2219,-1.6927860975265503
1724429037.163223,2229,-1.8291796445846558
1724429037.9836009,2239,-1.6809029579162598
1724429039.8028202,2259,-0.9191824793815613
1724429040.688535,2269,-2.716301679611206
1724429041.555829,2279,-1.0080304145812988
1724429043.381033,2299,-1.1344481706619263
1724429044.245795,2309,-1.4339193105697632
1724429045.159573,2319,-0.5855082869529724
1724429046.049234,2329,-1.8024708032608032
1724429046.8724391,2339,-1.4965019226074219
1724429047.84161,2349,-1.63023841381073
1724429048.774285,2359,-1.952534794807434
1724429050.607745,2379,-1.874401569366455
1724429051.544278,2389,-1.6019816398620605
1724429053.384201,2409,-1.676410436630249
1724429054.2475572,2419,-2.16164493560791
1724429055.156353,2429,-0.48549845814704895
1724429056.9118688,2449,-1.0398566722869873
1724429057.9110951,2459,-1.749199390411377
1724429058.852602,2469,-1.2716810703277588
1724429059.803375,2479,-1.6587430238723755
1724429060.692988,2489,-2.533128023147583
1724429061.646924,2499,-1.1663196086883545
1724429062.5367522,2509,-1.1504063606262207
1724429063.446264,2519,-0.9410718083381653
1724429064.334461,2529,-2.233335256576538
1724429065.268574,2539,-1.0947760343551636
1724429066.183156,2549,-1.854028344154358
1724429067.093847,2559,-1.3737437725067139
1724429067.960143,2569,-0.8088252544403076
1724429069.856833,2589,-2.054130792617798
1724429070.7026381,2599,-1.0224701166152954
1724429071.636153,2609,-0.9975383877754211
1724429072.596776,2619,-1.4941210746765137
1724429074.4180238,2639,-0.8920903205871582
1724429075.285473,2649,-1.3749948740005493
1724429076.196943,2659,-2.76438307762146
1724429078.0510569,2679,-1.84169602394104
1724429079.9276521,2699,-1.6991379261016846
1724429081.7803001,2719,-1.9580116271972656
1724429082.737648,2729,-2.4886434078216553
1724429083.6738691,2739,-1.5971883535385132
1724429084.5440419,2749,-2.294931173324585
1724429085.4558852,2759,-2.220937490463257
1724429087.1973991,2779,-1.0081753730773926
1724429088.156498,2789,-1.93307363986969
1724429089.0917919,2799,-2.0398988723754883
1724429090.048893,2809,-1.0550991296768188
1724429091.015009,2819,-2.359112501144409
1724429091.95508,2829,-1.5255149602890015
1724429092.890073,2839,-1.7386127710342407
1724429093.757139,2849,-1.7455815076828003
1724429098.081227,2899,-1.6126750707626343
1724429099.821972,2919,-0.85467129945755
1724429100.688524,2929,-1.16866135597229
1724429102.460843,2949,-2.51979398727417
1724429103.398046,2959,-1.605193018913269
1724429104.294206,2969,-1.2077295780181885
1724429105.1665862,2979,-1.1656224727630615
1724429106.0356638,2989,-0.7523956894874573
1724429106.93077,2999,-1.2779598236083984
1724429107.847751,3009,-1.8867088556289673
1724429108.73364,3019,-2.0049233436584473
1724429109.626977,3029,-0.7134247422218323
1724429110.541399,3039,-2.114194393157959
1724429111.481649,3049,-1.6407278776168823
1724429114.129161,3079,-1.18044912815094
1724429114.996843,3089,-1.3686877489089966
1724429115.9127429,3099,-1.8030339479446411
1724429116.8316631,3109,-0.6907651424407959
1724429117.7715929,3119,-2.6567444801330566
1724429119.648203,3139,-0.6995179653167725
1724429120.5221078,3149,-1.4708553552627563
1724429121.4111412,3159,-1.519832968711853
1724429122.261745,3169,-1.3957771062850952
1724429123.1561222,3179,-1.9613065719604492
1724429124.092748,3189,-2.4448084831237793
1724429125.030161,3199,-2.083979845046997
1724429125.833908,3209,-1.3262068033218384
1724429126.739409,3219,-2.07645583152771
1724429127.570034,3229,-1.225175142288208
1724429128.468336,3239,-0.8918728828430176
1724429129.433721,3249,-2.9293665885925293
1724429130.375257,3259,-1.6968438625335693
1724429131.3145459,3269,-0.47465503215789795
1724429132.2362921,3279,-0.7222656011581421
1724429133.179988,3289,-2.2488622665405273
1724429134.928652,3309,-2.671428918838501
